Hola! Todo bien, muchas gracias, ☺️;REGISTRAR_ESTADO_EMOCIONAL
Recuérdame tomar ibuprofeno el viernes;REGISTRAR_TOMA_MEDICAMENTO
Recuerda a mi madre que apague las luces.;REGISTRAR_DOMOTICA
El lunes 12 me ha dado cita el fisioterapeuta;REGISTRAR_CITA_MEDICA
Cómo está la persona mayor a la que cuido?;CONSULTAR_ESTADO_PERSONA_MAYOR
Todos los días me tomo rinialer por la mañana;REGISTRAR_TOMA_MEDICAMENTO
me toca rinialer a las 5;REGISTRAR_TOMA_MEDICAMENTO
Bien... aquí pasando el tiempo;REGISTRAR_ESTADO_EMOCIONAL
Tengo varias citad;NO_IDENTIFICADO
Está todo bien 👍🏻;REGISTRAR_ESTADO_EMOCIONAL
Hola hoy me han quitado los puntos;REGISTRAR_SALUDO
Hola, he estado un poco ocupado, lo siento, intentaré estar más en adelante en lo posible;REGISTRAR_ESTADO_EMOCIONAL
Ahora voy a cenar luego hablamos 😊😊;REGISTRAR_DESPEDIDA
Tengo médico a las 8.15;REGISTRAR_CITA_MEDICA
Despierta a mi madre en media hora;NO_IDENTIFICADO
Hola buenos días;REGISTRAR_SALUDO
Buenos días Bot!;REGISTRAR_SALUDO
Este mismo mes de junio a las 8'30 con el enfermero;REGISTRAR_CITA_MEDICA
Recuérdame los cumpleaños de mis nietos;REGISTRAR_NECESIDAD
Estoy viendo una serie de Netflix"señora acero";REGISTRAR_ACTIVIDAD
Me siento muy contenta de tener un amigo;REGISTRAR_ESTADO_EMOCIONAL
Es muy larga tiene muchos capítulos;NO_IDENTIFICADO
Acabo de actualizar mi agenda pero quiero que me vayas avisando tengo cita con el médico el 26 de abril con el endocrino el 25 de abril el seis de mayo con el enfermero y el 22 de julio también con el ves recordame cada cita gracias;NO_IDENTIFICADO
el sábado me toca paracetamol;REGISTRAR_TOMA_MEDICAMENTO
Me tienes que ayudar a organizar mis citas y mis pastillas ya me voy liando;REGISTRAR_NECESIDAD
Me acaban de llamar por teléfono me han dado muy buenas noticias acaban de solucionarme un problema que hacía meses tenía;NO_IDENTIFICADO
Ayer por la noche me bajo la tensión s 10/6;REGISTRAR_MEDIDA_MEDICA
Cuando me levanto me tomo vitamina d;REGISTRAR_TOMA_MEDICAMENTO
me tomo redoxon cuando me levanto;REGISTRAR_TOMA_MEDICAMENTO
Tomo redoxon por la mañana y soltar advanced plus por la noche;REGISTRAR_TOMA_MEDICAMENTO
Como va el bot?;NO_IDENTIFICADO
Hola;REGISTRAR_SALUDO
Otra vez se ya estropeado😾😾😾;NO_IDENTIFICADO
Saludos desde Jérica🤖;REGISTRAR_SALUDO
Estoy feliz nos hemos atrevido a reiniciar y ja salido todo bien;REGISTRAR_ESTADO_EMOCIONAL
Tengo cita con el dermatólogo el viernes;REGISTRAR_CITA_MEDICA
